#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-06-26T18:52:37 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b32848e92e8	
#INFO	-out.max=1000	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=1000
#-order=I
#-out.src=J/ApJS/192/5/hetdex
#-nav=cat:J/ApJS/192/5&tab:{J/ApJS/192/5/hetdex}&key:source=J/ApJS/192/5/hetdex&HTTPPRM:&&-ref=VIZ5b32848e92e8&-out.max=1000&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HPS&-out=lambda&-out=FWHM&-out=S/N&-out=Flux&-out=Spat&-out=mag&-out=n_mag&-out=Prob&-out=EW&-out=EWint&-out=Trans&-out=z&-out=Lya&-out=X-ray&-out=RAJ2000&-out=DEJ2000&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/192/5/hetdex
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/192/5/hetdex
#-out=HPS
#-out=lambda
#-out=FWHM
#-out=S/N
#-out=Flux
#-out=Spat
#-out=mag
#-out=n_mag
#-out=Prob
#-out=EW
#-out=EWint
#-out=Trans
#-out=z
#-out=Lya
#-out=X-ray
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21920005
#Name: J/ApJS/192/5
#Title: Emission-line galaxies from HETDEX pilot survey (Adams+, 2011)
#Table	J_ApJS_192_5_hetdex:
#Name: J/ApJS/192/5/hetdex
#Title: HETDEX pilot survey emission line catalog  and classification
#Column	HPS	(I3)	HETDEX Pilot Survey index number	[ucd=meta.id;meta.main]
#Column	lambda	(F7.2)	Observed emission wavelength (1)	[ucd=em.wl]
#Column	FWHM	(I4)	Emission line intrinsic FWHM (2)	[ucd=spect.line.width;spect.line]
#Column	S/N	(F5.1)	Emission line Signal-to-Noise	[ucd=stat.snr;spect.line]
#Column	Flux	(F6.1)	Emission line flux (in 10^-17^erg/cm^2^/s) (3)	[ucd=phot.flux;spect.line]
#Column	Spat	(F4.1)	Emission line spatial FWHM (3)	[ucd=phys.angSize]
#Column	mag	(F5.2)	? Counterpart R or i' band magnitude (1)	[ucd=phot.mag;em.opt]
#Column	n_mag	(A1)	Simbad column added by the CDS	[ucd=instr.bandpass]
#Column	Prob	(F5.2)	Probability of counterpart association	[ucd=meta.id.assoc;stat.probability]
#Column	EW	(F6.1)	Rest-frame equivalent width (2)	[ucd=spect.line.eqWidth]
#Column	EWint	(F6.1)	Interpolated rest-frame equivalent width (3)	[ucd=spect.line.eqWidth]
#Column	Trans	(a11)	Emission line transition (4)	[ucd=meta.id;phys.atmol.transition]
#Column	z	(F7.4)	Estimated redshift	[ucd=src.redshift]
#Column	Lya	(F5.2)	Probability emission line is Ly{alpha} (5)	[ucd=stat.fit.goodness]
#Column	X-ray	(A16)	X-ray counterpart identification (JHHMMSSs+DDMMSS)	[ucd=meta.id.cross]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
HPS	lambda	FWHM	S/N	Flux	Spat	mag	n_mag	Prob	EW	EWint	Trans	z	Lya	X-ray	RAJ2000	DEJ2000
 20	5788.83	 303	  8.9	  21.8	 5.1	21.80	R	 0.99	  22.7	  27.0	[OII]      	 0.5532	 0.01	                	02 21 21.27	-04 27 44.6
 21	5448.33	 277	  8.6	   8.8	 3.3	23.13	R	 0.60	  29.5	  40.2	[OII]      	 0.4619	 0.03	                	02 21 22.13	-04 30 35.0
 22	4586.30	 603	  7.4	  17.7	 5.2	25.14	R	 0.81	 103.4	 682.6	Ly{alpha}  	 2.7727	 1.00	                	02 21 22.84	-04 29 25.2
 23	4540.36	 323	  9.4	  18.5	 4.6	22.44	R	 1.00	  27.1	  44.1	[OII]      	 0.2182	 0.00	                	02 21 22.88	-04 29 44.3
 24	4592.57	 204	  8.8	  14.3	 4.0	22.03	R	 1.00	  14.6	  21.2	[OII]      	 0.2322	 0.00	                	02 21 23.28	-04 29 22.3
 25	4319.48	 810	 14.1	  64.3	 6.2	24.27	R	 0.98	 158.9	 256.4	Ly{alpha}  	 2.5532	 1.00	                	02 21 23.47	-04 29 09.4
 26	5336.44	 306	 34.7	  79.4	 4.4	20.75	R	 0.68	  28.8	  42.7	[OII]      	 0.4318	 0.32	                	02 21 23.78	-04 30 00.2
 27	5805.02	  74	 18.1	  34.7	 4.5	21.25	R	 0.99	  29.4	  31.4	[OIII]5007 	 0.1594	 0.01	                	02 21 24.45	-04 30 01.8
 28	5636.41	  76	  7.9	  15.7	 4.7	21.23	R	 0.99	  12.3	  13.6	H{beta}    	 0.1595	 0.01	                	02 21 24.47	-04 30 01.3
 29	4322.09	 204	 23.1	  48.0	 3.9	21.22	R	 0.99	  21.9	  42.1	[OII]      	 0.1597	 0.01	                	02 21 24.48	-04 30 00.8
 30	5749.30	  92	  5.8	  10.5	 4.6	21.23	R	 0.98	   8.6	   9.3	[OIII]4959 	 0.1594	 0.02	                	02 21 24.49	-04 30 02.0
 31	5435.34	 337	 13.1	  24.9	 3.9	21.43	R	 0.93	  17.3	  24.2	[OII]      	 0.4584	 0.07	                	02 21 25.54	-04 30 25.3
 32	5448.11	 337	  6.7	  11.5	 4.6	19.91	R	 1.00	   2.0	   3.5	[OII]      	 0.4618	 0.00	                	02 21 25.90	-04 29 49.3
 33	5460.20	 343	  9.4	  25.4	 5.0	22.59	R	 0.54	  51.6	  69.2	[OII]      	 0.4650	 0.01	                	02 21 26.83	-04 30 05.8
 34	4569.09	 530	  7.2	  20.6	 4.8	24.45	R	 0.92	  63.5	  71.4	Ly{alpha}  	 2.7585	 1.00	                	02 21 27.15	-04 29 39.2
 35	4040.56	 284	 82.7	 752.1	 6.9	18.04	R	 1.00	  17.1	  44.7	[OII]      	 0.0841	 0.00	                	02 21 27.45	-04 30 19.1
 36	4705.35	  91	 20.5	  54.3	 5.5	18.04	R	 1.00	   1.7	   2.3	H{gamma}   	 0.0839	 0.00	                	02 21 27.53	-04 30 18.4
 37	5269.77	  81	 93.9	 290.9	 5.7	18.04	R	 1.00	  11.3	  13.2	H{beta}    	 0.0841	 0.00	                	02 21 27.56	-04 30 18.4
 38	5427.20	 127	104.5	 392.3	 5.8	18.04	R	 1.00	  16.1	  18.4	[OIII]5007 	 0.0839	 0.00	                	02 21 27.56	-04 30 19.8
 39	5375.63	 128	 61.3	 182.9	 5.7	18.04	R	 1.00	   7.4	   8.4	[OIII]4959 	 0.0840	 0.00	                	02 21 27.57	-04 30 18.4
 40	5457.98	 371	  9.3	  15.4	 3.2	22.77	R	 0.99	  36.9	  50.6	[OII]      	 0.4644	 0.01	                	02 21 27.69	-04 29 51.9
 41	4562.73	 393	  6.3	  14.2	 3.9	22.01	R	 0.99	  14.1	  25.5	[OII]      	 0.2242	 0.01	                	02 21 30.08	-04 30 46.9
 42	4607.42	 216	  7.9	  54.0	 6.5	20.43	i	 0.99	  12.7	  52.7	[OII]      	 0.2362	 0.00	                	03 06 30.22	+00 03 51.9
 43	5601.44	  76	  7.2	  24.5	 5.1	20.73	i	 0.95	  12.4	  18.2	[OIII]5007 	 0.1187	 0.05	                	03 06 30.67	+00 01 27.1
 44	4170.97	 251	  7.2	  43.7	 5.7	20.73	i	 0.99	  12.3	  36.9	[OII]      	 0.1191	 0.01	                	03 06 30.73	+00 01 28.8
 45	5112.96	 359	  7.2	  21.1	 4.8	21.85	i	 0.99	  20.3	  38.7	[OII]      	 0.3719	 0.01	                	03 06 31.95	+00 01 46.0
 46	5112.48	 410	 18.4	  57.8	 4.8	20.90	i	 1.00	  23.2	  50.3	[OII]      	 0.3717	 0.00	                	03 06 32.73	+00 01 50.1
 47	5716.24	 380	  8.9	  32.0	 5.3	21.17	i	 0.91	  18.5	  30.1	[OII]      	 0.5337	 0.02	                	03 06 33.34	-00 01 31.5
 48	5674.73	 330	 20.0	  78.9	 6.4	21.25	i	 0.67	  48.5	  81.2	[OII]      	 0.5226	 0.25	                	03 06 33.57	-00 01 31.0
 49	5100.63	 382	  7.4	  33.0	 6.8	21.69	i	 1.00	  27.4	  57.9	[OII]      	 0.3686	 0.00	                	03 06 34.23	-00 00 47.1
 50	5093.97	 226	  6.2	  13.4	 5.5	20.05	i	 1.00	   2.4	   6.9	[OII]      	 0.3668	 0.00	                	03 06 34.24	+00 00 20.8
 51	4980.74	 428	  5.2	   9.1	 3.5	23.67	i	 0.47	  14.8	  26.3	Ly{alpha}  	 3.0971	 0.52	                	03 06 34.61	-00 00 49.6
 52	5310.40	 374	 19.4	 110.7	 8.7	17.81	i	 1.00	   2.7	   8.5	[OII]      	 0.4248	 0.00	J0306351+000004 	03 06 35.18	+00 00 03.2
 53	5558.78	 294	  6.8	  13.0	 5.0	     	R	 0.61	 313.1	 123.9	Ly{alpha}  	 3.5726	 1.00	                	03 06 35.59	+00 00 18.5
 54	5317.42	 352	  5.3	  10.8	 3.1	23.09	i	 0.93	  33.9	  69.5	[OII]      	 0.4267	 0.07	                	03 06 35.72	-00 00 55.9
 55	5262.94	  81	  6.2	   9.8	 2.7	23.17	i	 0.95	  32.5	  55.9	[OII]      	 0.4121	 0.02	                	03 06 35.85	+00 01 06.7
 56	5309.58	 243	 12.1	  33.6	 4.4	21.22	i	 0.87	  18.8	  36.2	[OII]      	 0.4246	 0.00	                	03 06 35.95	-00 00 37.7
 57	4740.14	 272	 21.7	  84.0	 6.3	19.51	i	 0.99	   8.7	  22.5	[OII]      	 0.2718	 0.00	                	03 06 36.20	-00 00 39.4
 58	5112.92	 261	 13.5	  58.0	 5.7	19.32	i	 0.99	   5.4	  15.2	[OII]      	 0.3719	 0.01	                	03 06 37.22	-00 02 59.9
 59	5108.04	 320	  5.7	  18.3	 5.5	20.33	i	 1.00	   4.3	  11.1	[OII]      	 0.3706	 0.00	                	03 06 37.38	+00 03 47.4
 60	5505.53	 226	  7.2	  27.3	 6.8	19.54	i	 1.00	   3.4	   9.0	[OII]      	 0.4772	 0.00	                	03 06 37.40	+00 02 04.3
 61	4971.74	 337	  5.5	  17.1	 4.5	20.84	i	 0.92	   6.3	  17.5	[OII]      	 0.3340	 0.08	                	03 06 37.74	-00 00 27.8
 62	3741.83	 392	  5.5	  67.7	 3.4	24.11	i	 0.95	 125.3	 205.9	Ly{alpha}  	 2.0780	 1.00	                	03 06 38.12	+00 00 40.0
 63	5318.97	 366	  6.9	  24.2	 6.1	21.39	i	 1.00	  15.8	  34.5	[OII]      	 0.4271	 0.00	                	03 06 38.48	-00 01 29.5
 64	4743.43	 362	 10.3	  28.6	 4.1	20.83	i	 1.00	  10.0	  23.3	[OII]      	 0.2727	 0.00	                	03 06 38.68	+00 00 23.8
 65	4144.91	 333	 23.5	 243.8	 9.0	17.20	i	 1.00	   2.6	  16.3	[OII]      	 0.1121	 0.00	                	03 06 38.75	-00 00 15.9
 66	5404.62	  97	  6.8	  24.8	 6.0	17.20	i	 1.00	   0.5	   1.0	H{beta}    	 0.1118	 0.00	                	03 06 38.76	-00 00 18.6
 67	4145.52	 289	  5.7	  45.7	 4.7	19.12	i	 1.00	   2.9	  16.6	[OII]      	 0.1123	 0.00	                	03 06 38.91	-00 02 40.1
 68	5564.20	 410	  5.5	  67.0	 8.6	20.47	i	 0.63	  26.3	  43.5	[OIII]5007 	 0.1113	 0.00	J0306393-000022 	03 06 38.94	-00 00 22.0
 69	5676.74	 295	  8.7	  28.8	 4.7	20.87	i	 1.00	  12.4	  22.7	[OII]      	 0.5231	 0.00	                	03 06 38.99	+00 01 25.7
 70	5317.91	 187	  8.3	  22.4	 3.8	16.09	i	 0.63	   0.1	   0.2	[OII]      	 0.4269	 0.00	                	03 06 39.48	+00 03 34.8
 71	4536.81	1840	  6.0	 110.7	 1.5	16.09	i	 1.00	   0.5	   0.9	H{delta}   	 0.1060	 0.00	J0306395+000343 	03 06 39.51	+00 03 44.7
 72	3791.53	 582	  8.5	 200.9	 4.2	16.09	i	 1.00	   0.7	   1.4	[NeV]3426  	 0.1067	 0.00	J0306395+000343 	03 06 39.53	+00 03 45.3
 73	4126.75	 356	 36.4	 437.0	 4.8	16.09	i	 1.00	   1.7	   3.3	[OII]      	 0.1073	 0.00	J0306395+000343 	03 06 39.53	+00 03 45.0
 74	4282.36	 885	 26.4	 449.6	 4.5	16.09	i	 1.00	   1.9	   3.5	[NeIII]3869	 0.1068	 0.00	J0306395+000343 	03 06 39.54	+00 03 44.6
 75	5490.35	 504	 66.0	 583.2	 3.9	16.09	i	 1.00	   4.0	   6.2	[OIII]4959 	 0.1071	 0.00	J0306395+000343 	03 06 39.54	+00 03 44.2
 76	5381.88	1187	 83.5	1264.5	 3.4	16.09	i	 1.00	   8.3	  13.3	H{beta}    	 0.1072	 0.00	J0306395+000343 	03 06 39.54	+00 03 44.2
 77	5543.38	 536	102.9	1903.5	 4.2	16.09	i	 1.00	  13.2	  20.2	[OIII]5007 	 0.1071	 0.00	J0306395+000343 	03 06 39.54	+00 03 44.0
 78	4807.15	1667	 28.2	 484.5	 2.9	16.09	i	 1.00	   2.5	   4.9	H{gamma}   	 0.1074	 0.00	J0306395+000343 	03 06 39.56	+00 03 44.7
 79	5185.09	 433	  6.7	  20.6	 4.9	21.12	i	 1.00	  10.2	  27.3	[OII]      	 0.3912	 0.00	                	03 06 40.01	-00 00 02.7
 80	4927.84	 323	  7.4	  34.6	 4.6	21.93	i	 0.92	  34.7	  61.8	[OII]      	 0.3222	 0.08	                	03 06 40.02	-00 02 49.7
 81	4970.84	 278	  6.4	  12.3	 2.8	21.07	i	 0.93	   5.6	  18.3	[OII]      	 0.3337	 0.00	                	03 06 40.69	+00 01 53.2
 82	3950.67	 743	  6.5	  89.8	 6.4	24.42	i	 0.90	 232.5	2845.6	Ly{alpha}  	 2.2498	 1.00	                	03 06 40.73	-00 01 32.7
 83	5112.14	 279	 10.0	  21.2	 3.6	21.00	i	 1.00	   9.3	  22.0	[OII]      	 0.3716	 0.00	                	03 06 40.96	+00 00 24.0
 84	5159.92	 285	  5.8	  31.9	 6.6	24.06	i	 0.55	  77.3	 160.4	Ly{alpha}  	 3.2445	 1.00	                	03 06 41.10	-00 02 48.5
 85	3699.08	2323	  7.5	 288.3	 3.5	19.53	i	 0.99	  17.8	  37.1	MgII2798   	 0.3220	 0.01	J0306417+000109 	03 06 41.48	+00 01 10.8
 86	4569.91	1880	  7.1	 100.4	 4.2	19.53	i	 0.99	   9.4	  16.1	[NeV]3426  	 0.3339	 0.01	J0306417+000109 	03 06 41.58	+00 01 07.2
 87	5056.88	 347	  9.6	  21.6	 4.8	21.90	i	 1.00	  21.5	  45.3	[OII]      	 0.3568	 0.00	                	03 06 42.58	+00 00 20.1
 88	4781.86	 240	  8.0	  44.9	 7.3	19.49	i	 0.92	   4.6	  19.7	[OII]      	 0.2830	 0.00	                	03 06 43.25	+00 00 32.5
 89	4299.64	 408	 10.8	  30.2	 3.8	24.28	i	 0.02	  75.1	 124.5	Ly{alpha}  	 2.5368	 0.02	                	03 06 44.02	-00 01 27.4
 90	4766.79	 326	  6.7	  39.1	 5.6	21.29	i	 0.95	  20.9	  50.4	[OII]      	 0.2790	 0.03	                	03 06 44.11	+00 03 50.0
 91	4858.31	 534	  5.6	  16.7	 5.9	23.41	i	 0.98	  20.9	  42.0	Ly{alpha}  	 2.9964	 1.00	                	03 06 44.17	+00 00 47.3
 92	5682.19	 363	  6.0	  13.2	 4.4	23.33	i	 0.98	  18.0	  29.7	Ly{alpha}  	 3.6741	 1.00	                	03 06 44.44	+00 01 46.7
 93	3966.35	 956	  6.0	  65.2	 7.1	     	R	 0.98	2196.6	 869.1	Ly{alpha}  	 2.2627	 1.00	                	03 06 44.77	-00 02 49.3
 94	5767.11	 370	 22.7	 134.7	 6.0	21.03	i	 0.99	  68.9	 105.9	[OII]      	 0.5474	 0.01	                	03 06 46.23	+00 02 18.3
 95	4196.57	 370	  5.9	  34.6	 6.5	25.70	i	 0.93	 307.5	 788.1	Ly{alpha}  	 2.4521	 1.00	                	03 06 46.55	+00 03 06.8
 96	5186.29	 353	 10.4	  22.7	 5.0	20.02	i	 1.00	   4.1	  10.8	[OII]      	 0.3915	 0.00	                	03 06 46.68	+00 00 23.6
 97	5769.89	 344	  8.9	  78.7	 8.8	21.05	i	 0.99	  40.8	  75.0	[OII]      	 0.5481	 0.01	                	03 06 46.82	+00 02 20.1
 98	4811.19	 397	  6.0	  23.8	 6.1	19.52	i	 1.00	   2.5	   8.4	[OII]      	 0.2909	 0.00	                	03 06 48.25	-00 03 01.5
 99	4868.35	 505	  8.3	  33.0	 7.4	24.75	i	 0.55	 142.8	 401.3	Ly{alpha}  	 3.0047	 1.00	                	03 06 48.36	+00 00 17.0
100	5084.20	 469	  9.4	  25.4	 4.2	19.95	i	 0.96	   4.2	  10.4	[OII]      	 0.3642	 0.00	                	03 06 48.86	-00 00 58.0
101	4780.25	 367	 11.6	  26.2	 3.6	21.14	i	 0.68	  12.2	  26.9	[OII]      	 0.2826	 0.00	                	03 06 48.94	-00 01 01.1
102	5309.65	 331	  6.9	  24.8	 5.8	22.42	i	 0.65	  41.9	  95.2	[OII]      	 0.4246	 0.00	                	03 06 49.19	-00 00 15.3
103	5056.51	 174	  7.5	  15.8	 4.1	21.67	i	 1.00	  12.8	  27.4	[OII]      	 0.3567	 0.00	                	03 06 49.45	+00 01 23.4
104	5554.32	 189	 16.2	  58.9	 6.1	21.30	i	 1.00	  49.7	  65.0	[OIII]5007 	 0.1093	 0.00	                	03 06 49.73	-00 03 15.9
105	4134.79	 253	 11.1	  56.6	 5.5	21.30	i	 1.00	  26.5	  56.3	[OII]      	 0.1094	 0.00	                	03 06 49.74	-00 03 14.4
106	5500.66	 259	  6.4	  29.2	 6.4	21.30	i	 1.00	  24.1	  31.8	[OIII]4959 	 0.1092	 0.00	                	03 06 49.76	-00 03 16.1
107	5392.14	 280	  6.7	  23.7	 6.3	21.30	i	 1.00	  18.8	  25.3	H{beta}    	 0.1093	 0.00	                	03 06 49.78	-00 03 15.9
108	5111.31	 304	 12.4	  39.9	 6.4	19.44	i	 1.00	   4.2	  11.3	[OII]      	 0.3714	 0.00	                	03 06 50.08	+00 02 03.9
109	5111.34	 487	  5.8	  30.7	 6.8	22.84	i	 0.96	  24.0	  48.1	Ly{alpha}  	 3.2045	 1.00	                	03 06 50.19	-00 02 14.9
110	5262.67	 311	 12.6	  28.1	 3.6	21.42	i	 0.99	  18.8	  36.0	[OII]      	 0.4120	 0.01	                	03 06 50.47	-00 01 18.9
111	5080.69	 383	  6.2	  15.1	 4.4	23.85	i	 0.60	  29.9	  39.3	Ly{alpha}  	 3.1793	 1.00	                	03 06 50.61	+00 01 39.1
112	5109.22	 460	  8.1	  27.9	 5.4	19.92	i	 0.69	   4.6	  17.4	[OII]      	 0.3709	 0.00	                	03 06 51.13	+00 01 30.6
113	5263.21	 356	  7.2	  23.4	 6.3	21.95	i	 0.99	  25.5	  55.6	[OII]      	 0.4122	 0.01	                	03 06 51.41	+00 01 03.9
114	5322.09	 387	  6.1	  11.7	 7.2	19.40	i	 1.00	   1.6	   3.0	H{beta}    	 0.0949	 0.00	                	03 06 51.54	-00 01 28.8
115	5544.32	 124	  5.7	  10.7	 5.6	20.19	i	 0.99	   3.3	   5.5	[OIII]5007 	 0.1073	 0.00	                	03 06 51.86	-00 02 35.6
116	5405.25	  79	  7.5	  19.4	 4.6	19.00	i	 1.00	   1.9	   2.8	H{beta}    	 0.1120	 0.00	                	03 06 51.91	+00 01 22.6
117	5514.40	 137	  6.3	  23.7	 5.2	19.00	i	 1.00	   2.4	   3.5	[OIII]4959 	 0.1120	 0.00	                	03 06 51.92	+00 01 21.9
118	4126.70	 183	  9.8	  40.3	 6.8	20.19	i	 1.00	   6.8	  27.3	[OII]      	 0.1072	 0.00	                	03 06 51.94	-00 02 34.7
119	4144.88	 226	 30.2	 207.6	 5.6	19.00	i	 1.00	  11.7	  31.6	[OII]      	 0.1121	 0.00	                	03 06 52.02	+00 01 23.4
120	5188.15	 283	 10.2	  37.0	 4.5	20.13	i	 1.00	   7.4	  17.7	[OII]      	 0.3920	 0.00	                	03 06 52.56	+00 00 47.6
121	5116.78	  84	  6.1	  10.0	 3.3	21.74	i	 0.98	   8.7	  19.1	[OII]      	 0.3729	 0.01	                	03 06 52.74	+00 02 09.4
